epoch_id,count,duration_ms,timestamp
0,146626,6662.5408,2025-11-30T16:30:47.065985+00:00
1,10,220.6046,2025-11-30T16:30:47.574414+00:00
2,45,248.4224,2025-11-30T16:30:48.039451+00:00
3,50,205.3467,2025-11-30T16:30:48.524820+00:00
4,44,168.3689,2025-11-30T16:30:48.926549+00:00
5,40,260.8513,2025-11-30T16:30:49.387354+00:00
6,50,186.5552,2025-11-30T16:30:49.770776+00:00
7,36,150.4314,2025-11-30T16:30:50.112884+00:00
8,33,168.0064,2025-11-30T16:30:50.518065+00:00
9,43,149.7864,2025-11-30T16:30:50.955150+00:00
10,42,128.0349,2025-11-30T16:30:51.244403+00:00
11,27,112.8492,2025-11-30T16:30:51.483370+00:00
12,25,139.3509,2025-11-30T16:30:51.756329+00:00
13,27,171.3691,2025-11-30T16:30:52.107388+00:00
14,39,115.0324,2025-11-30T16:30:52.398637+00:00
15,25,110.2078,2025-11-30T16:30:52.627169+00:00
16,22,167.0011,2025-11-30T16:30:52.906834+00:00
17,29,128.2928,2025-11-30T16:30:53.155816+00:00
18,27,115.6030,2025-11-30T16:30:53.458950+00:00
19,31,107.6023,2025-11-30T16:30:53.713778+00:00
20,22,151.0667,2025-11-30T16:30:54.057496+00:00
21,38,88.8431,2025-11-30T16:30:54.361472+00:00
22,27,138.8572,2025-11-30T16:30:54.646438+00:00
23,30,176.6681,2025-11-30T16:30:54.935150+00:00
24,30,117.1835,2025-11-30T16:30:55.232751+00:00
25,26,125.7534,2025-11-30T16:30:55.482213+00:00
26,26,159.3851,2025-11-30T16:30:55.758917+00:00
27,34,104.6043,2025-11-30T16:30:56.095291+00:00
28,27,130.3893,2025-11-30T16:30:56.333071+00:00
29,24,89.0650,2025-11-30T16:30:56.542476+00:00
30,21,126.1066,2025-11-30T16:30:56.788510+00:00
31,27,175.5015,2025-11-30T16:30:57.118166+00:00
32,34,86.7381,2025-11-30T16:30:57.414010+00:00
33,26,102.3311,2025-11-30T16:30:57.612017+00:00
34,21,92.2057,2025-11-30T16:30:57.823444+00:00
