epoch_id,count,duration_ms,timestamp
0,0,869.6688,2025-11-30T16:36:06.372401+00:00
1,1,1086.7780,2025-11-30T16:36:13.052644+00:00
2,135,300.3136,2025-11-30T16:36:13.644694+00:00
3,60,195.0003,2025-11-30T16:36:14.019651+00:00
4,35,168.8305,2025-11-30T16:36:14.343401+00:00
5,40,153.3855,2025-11-30T16:36:14.772147+00:00
6,37,141.4317,2025-11-30T16:36:15.047261+00:00
7,27,122.3263,2025-11-30T16:36:15.287933+00:00
8,25,149.0744,2025-11-30T16:36:15.591273+00:00
9,31,210.5418,2025-11-30T16:36:16.004039+00:00
10,42,126.7758,2025-11-30T16:36:16.275497+00:00
11,31,100.8291,2025-11-30T16:36:16.602389+00:00
12,29,103.8554,2025-11-30T16:36:16.873225+00:00
13,24,181.1542,2025-11-30T16:36:17.213748+00:00
14,37,112.2797,2025-11-30T16:36:17.488442+00:00
15,26,166.7446,2025-11-30T16:36:17.814386+00:00
16,37,162.5525,2025-11-30T16:36:18.225227+00:00
17,38,174.4397,2025-11-30T16:36:18.615773+00:00
18,37,132.0529,2025-11-30T16:36:18.847062+00:00
19,23,94.0881,2025-11-30T16:36:19.051937+00:00
20,22,140.5224,2025-11-30T16:36:19.309393+00:00
21,25,200.3697,2025-11-30T16:36:19.715696+00:00
22,41,99.4913,2025-11-30T16:36:19.957331+00:00
23,23,90.9210,2025-11-30T16:36:20.145971+00:00
24,19,91.9101,2025-11-30T16:36:20.384971+00:00
25,23,88.6902,2025-11-30T16:36:20.571991+00:00
26,18,96.9885,2025-11-30T16:36:20.762588+00:00
27,23,121.9829,2025-11-30T16:36:21.091012+00:00
28,31,102.3002,2025-11-30T16:36:21.299067+00:00
29,20,82.8680,2025-11-30T16:36:21.487371+00:00
30,18,116.2043,2025-11-30T16:36:21.711485+00:00
31,26,180.3520,2025-11-30T16:36:22.062137+00:00
32,42,147.0410,2025-11-30T16:36:22.466158+00:00
33,31,81.3267,2025-11-30T16:36:22.652141+00:00
34,19,85.1436,2025-11-30T16:36:22.851732+00:00
35,20,80.6889,2025-11-30T16:36:23.058637+00:00
36,20,221.2905,2025-11-30T16:36:23.406068+00:00
37,37,179.4362,2025-11-30T16:36:23.778720+00:00
38,35,105.1675,2025-11-30T16:36:23.974103+00:00
39,19,71.7790,2025-11-30T16:36:24.156852+00:00
40,19,98.8511,2025-11-30T16:36:24.356980+00:00
41,19,112.8261,2025-11-30T16:36:24.545166+00:00
42,21,148.7748,2025-11-30T16:36:24.824822+00:00
43,34,97.4940,2025-11-30T16:36:25.164881+00:00
44,26,82.0138,2025-11-30T16:36:25.335826+00:00
45,18,75.4017,2025-11-30T16:36:25.513169+00:00
46,18,86.9167,2025-11-30T16:36:25.709169+00:00
47,18,103.6733,2025-11-30T16:36:25.906245+00:00
48,20,71.5403,2025-11-30T16:36:26.066159+00:00
49,16,106.4986,2025-11-30T16:36:26.333893+00:00
50,27,134.6424,2025-11-30T16:36:26.575507+00:00
51,27,105.2148,2025-11-30T16:36:26.824966+00:00
52,23,91.8659,2025-11-30T16:36:27.012209+00:00
53,19,86.8550,2025-11-30T16:36:27.191589+00:00
54,17,120.3288,2025-11-30T16:36:27.399038+00:00
55,22,82.8396,2025-11-30T16:36:27.675840+00:00
56,27,58.0632,2025-11-30T16:36:27.814162+00:00
57,13,130.0297,2025-11-30T16:36:28.037404+00:00
58,24,114.4331,2025-11-30T16:36:28.414681+00:00
59,37,85.1098,2025-11-30T16:36:28.598026+00:00
60,18,177.8813,2025-11-30T16:36:29.018692+00:00
61,46,142.0727,2025-11-30T16:36:29.360748+00:00
62,30,65.8404,2025-11-30T16:36:29.511045+00:00
63,16,119.9731,2025-11-30T16:36:29.768052+00:00
64,24,76.9916,2025-11-30T16:36:29.911694+00:00
65,14,69.3541,2025-11-30T16:36:30.067106+00:00
66,17,74.2209,2025-11-30T16:36:30.235712+00:00
67,16,136.7448,2025-11-30T16:36:30.453771+00:00
